ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
1.0.164.165,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh)|RTBH (Turkiye)|Stamparm IPsum,4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.0.171.141,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.10.16.0/20,ipv4,True,Spamhaus DROP,1,infrastructure,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.10.182.201,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.10.202.9,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.10.223.244,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.10.247.129,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.116.61.217,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.117.165.141,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.119.194.226,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.12.229.231,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.12.233.51,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.12.37.113,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.12.48.131,ipv4,False,GreenSnow|RTBH (Turkiye)|Stamparm IPsum,3,attacker,60,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.12.55.42,ipv4,False,GreenSnow|RTBH (Turkiye)|Stamparm IPsum,3,attacker,60,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.13.102.222,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.13.249.217,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.14.106.163,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.14.165.193,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.14.184.80,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.14.64.225,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.14.77.186,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.15.103.109,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|RTBH (Turkiye),4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.15.14.29,ipv4,False,CINS Army|RTBH (Turkiye),2,scanner,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.15.173.79,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.15.228.74,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.161.118.53,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.161.75.18,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.162.111.230,ipv4,False,AbuseIPDB|RTBH (Turkiye),2,crowd-sourced,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.162.197.67,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.162.225.185,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|RTBH (Turkiye),4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.162.228.189,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|RTBH (Turkiye),4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.162.247.182,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.165.10.83,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.165.121.245,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.165.148.221,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.165.26.201,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
